Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
472693870,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
472693875,000000FD,false,Rx,0,8,B7,D5,1F,80,00,00,00,00,
472693881,00000116,false,Rx,0,8,50,05,01,00,20,00,00,FF,
472693886,000001A2,false,Rx,0,8,25,06,00,00,00,00,00,00,
472693891,000000AD,false,Rx,0,8,D5,EF,BF,FF,00,14,00,00,
472693897,000000AE,false,Rx,0,8,68,0F,00,00,FF,3C,01,02,
472693902,00000128,false,Rx,0,3,80,00,00,00,00,00,00,00,
472693907,00000365,false,Rx,0,8,AD,06,14,00,8D,0F,88,7A,
472693912,0000012D,false,Rx,0,8,5D,80,7F,00,00,00,FE,3F,
472693918,000000A7,false,Rx,0,8,50,0D,20,80,FD,01,98,3D,
472693923,000000A8,false,Rx,0,8,B2,9D,1D,A1,82,64,24,0E,
472695222,000000AF,false,Rx,0,4,83,79,00,00,00,00,00,00,
472696183,00000086,false,Rx,0,8,74,0D,2C,20,00,00,00,00,
472697460,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
472697739,00000101,false,Rx,0,8,3F,06,80,00,A2,00,00,00,
472697982,00000106,false,Rx,0,8,5F,06,63,00,02,00,00,00,
472698277,1B000076,true,Rx,0,8,76,00,04,01,01,00,00,00,
472698505,0000011E,false,Rx,0,8,A3,06,00,00,00,00,00,00,
472701290,000000AD,false,Rx,0,8,48,E0,BF,FF,00,14,00,00,
472701544,000000AE,false,Rx,0,8,DF,00,00,00,FF,3C,01,02,
472701875,000003DE,false,Rx,0,8,FE,00,00,00,00,00,00,00,
472703272,000000A7,false,Rx,0,8,9C,0E,20,80,FD,FD,97,3D,
472703485,000000A8,false,Rx,0,8,70,9E,1D,A1,82,64,2C,0E,
472703746,00000107,false,Rx,0,8,00,00,F8,2C,01,00,32,A6,
472703968,00000120,false,Rx,0,8,40,07,00,02,01,08,FF,01,
472704202,00000121,false,Rx,0,8,AF,07,00,40,37,5A,7E,FE,
472704432,00000147,false,Rx,0,8,00,00,00,00,F0,A3,60,1D,
472705223,000000AF,false,Rx,0,4,83,7A,00,00,00,00,00,00,
472706184,00000086,false,Rx,0,8,D8,0E,2C,20,00,00,00,00,
472711487,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
