Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
477213649,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
477713641,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
478213609,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
478713600,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
479213590,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
479713578,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
480213549,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
480713542,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
481093010,000007E0,false,Rx,0,8,02,10,03,00,00,00,00,00,
481102789,000007E8,false,Rx,0,8,06,50,03,00,32,01,F4,AA,
481153128,000007E0,false,Rx,0,8,03,19,02,AE,00,00,00,00,
481193894,000007E8,false,Rx,0,8,03,7F,19,78,AA,AA,AA,AA,
481213544,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
481692879,000007E8,false,Rx,0,8,03,59,02,FF,AA,AA,AA,AA,
481713498,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
481813234,000007E0,false,Rx,0,8,02,10,01,00,00,00,00,00,
481822897,000007E8,false,Rx,0,8,06,50,01,00,32,01,F4,AA,
482053039,000007E1,false,Rx,0,8,02,10,03,00,00,00,00,00,
482061413,000007E9,false,Rx,0,8,06,50,03,00,32,01,F4,AA,
482113208,000007E1,false,Rx,0,8,03,22,F1,91,00,00,00,00,
482121425,000007E9,false,Rx,0,8,10,0E,62,F1,91,30,32,45,
482121693,000007E1,false,Rx,0,8,30,00,01,00,00,00,00,00,
482132472,000007E9,false,Rx,0,8,21,39,32,37,37,37,30,41,
482141394,000007E9,false,Rx,0,8,22,53,AA,AA,AA,AA,AA,AA,
482203212,000007E1,false,Rx,0,8,03,22,F1,A3,00,00,00,00,
482212476,000007E9,false,Rx,0,8,06,62,F1,A3,48,35,34,AA,
482213506,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
482263237,000007E1,false,Rx,0,8,03,22,F1,87,00,00,00,00,
482272913,000007E9,false,Rx,0,8,10,0E,62,F1,87,30,44,39,
482273169,000007E1,false,Rx,0,8,30,00,01,00,00,00,00,00,
482281434,000007E9,false,Rx,0,8,21,33,30,30,30,31,34,4D,
482292171,000007E9,false,Rx,0,8,22,20,AA,AA,AA,AA,AA,AA,
482353136,000007E1,false,Rx,0,8,03,22,F1,89,00,00,00,00,
482361414,000007E9,false,Rx,0,8,07,62,F1,89,35,30,30,35,
482413182,000007E1,false,Rx,0,8,03,22,F1,97,00,00,00,00,
482421438,000007E9,false,Rx,0,8,10,10,62,F1,97,44,51,32,
482421679,000007E1,false,Rx,0,8,30,00,01,00,00,00,00,00,
482432452,000007E9,false,Rx,0,8,21,35,30,2D,36,41,20,4D,
482441417,000007E9,false,Rx,0,8,22,51,42,20,AA,AA,AA,AA,
482503129,000007E1,false,Rx,0,8,03,22,F1,AA,00,00,00,00,
482512177,000007E9,false,Rx,0,8,10,08,62,F1,AA,4A,37,34,
482512444,000007E1,false,Rx,0,8,30,00,01,00,00,00,00,00,
482521417,000007E9,false,Rx,0,8,21,33,20,AA,AA,AA,AA,AA,
482563178,000007E1,false,Rx,0,8,03,22,F1,8C,00,00,00,00,
482572876,000007E9,false,Rx,0,8,10,12,62,F1,8C,54,46,4B,
482573136,000007E1,false,Rx,0,8,30,00,01,00,00,00,00,00,
482581536,000007E9,false,Rx,0,8,21,30,31,39,30,33,31,34,
482592208,000007E9,false,Rx,0,8,22,30,33,35,35,00,AA,AA,
482653168,000007E1,false,Rx,0,8,03,22,F1,9E,00,00,00,00,
482661451,000007E9,false,Rx,0,8,10,12,62,F1,9E,45,56,5F,
482661722,000007E1,false,Rx,0,8,30,00,01,00,00,00,00,00,
482674376,000007E9,false,Rx,0,8,21,54,43,4D,44,51,32,35,
482681413,000007E9,false,Rx,0,8,22,30,30,32,31,00,AA,AA,
482713485,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
482743214,000007E1,false,Rx,0,8,03,22,F1,A2,00,00,00,00,
482752189,000007E9,false,Rx,0,8,10,09,62,F1,A2,30,30,31,
482752436,000007E1,false,Rx,0,8,30,00,01,00,00,00,00,00,
482761434,000007E9,false,Rx,0,8,21,30,30,31,AA,AA,AA,AA,
482803347,000007E1,false,Rx,0,8,03,22,06,00,00,00,00,00,
482812473,000007E9,false,Rx,0,8,05,62,06,00,00,14,AA,AA,
482863138,000007E1,false,Rx,0,8,03,22,06,06,00,00,00,00,
482872904,000007E9,false,Rx,0,8,03,7F,22,31,AA,AA,AA,AA,
482923235,000007E1,false,Rx,0,8,03,22,06,08,00,00,00,00,
482932392,000007E9,false,Rx,0,8,03,7F,22,31,AA,AA,AA,AA,
483213461,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
483283198,000007E1,false,Rx,0,8,03,19,02,AE,00,00,00,00,
483292466,000007E9,false,Rx,0,8,03,59,02,FF,AA,AA,AA,AA,
483343148,000007E1,false,Rx,0,8,02,10,01,00,00,00,00,00,
483352260,000007E9,false,Rx,0,8,06,50,01,00,32,01,F4,AA,
483583055,00000713,false,Rx,0,8,02,10,03,00,00,00,00,00,
483597048,0000077D,false,Rx,0,8,06,50,03,00,32,01,F4,AA,
483643225,00000713,false,Rx,0,8,03,22,F1,91,00,00,00,00,
483676969,0000077D,false,Rx,0,8,03,7F,22,78,AA,AA,AA,AA,
483685934,0000077D,false,Rx,0,8,10,0E,62,F1,91,35,51,30,
483686195,00000713,false,Rx,0,8,30,00,01,00,00,00,00,00,
483696778,0000077D,false,Rx,0,8,21,36,31,34,35,31,37,41,
483706206,0000077D,false,Rx,0,8,22,46,AA,AA,AA,AA,AA,AA,
483713441,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
483763205,00000713,false,Rx,0,8,03,22,F1,A3,00,00,00,00,
483796750,0000077D,false,Rx,0,8,06,62,F1,A3,48,36,32,AA,
483853213,00000713,false,Rx,0,8,03,22,F1,87,00,00,00,00,
483885930,0000077D,false,Rx,0,8,03,7F,22,78,AA,AA,AA,AA,
483896751,0000077D,false,Rx,0,8,10,0E,62,F1,87,35,51,30,
483897020,00000713,false,Rx,0,8,30,00,01,00,00,00,00,00,
483906234,0000077D,false,Rx,0,8,21,36,31,34,35,31,37,41,
483916463,0000077D,false,Rx,0,8,22,51,AA,AA,AA,AA,AA,AA,
483973218,00000713,false,Rx,0,8,03,22,F1,89,00,00,00,00,
484006225,0000077D,false,Rx,0,8,07,62,F1,89,30,34,30,30,
484063237,00000713,false,Rx,0,8,03,22,F1,97,00,00,00,00,
484096706,0000077D,false,Rx,0,8,03,7F,22,78,AA,AA,AA,AA,
484116461,0000077D,false,Rx,0,8,10,10,62,F1,97,45,53,43,
484116715,00000713,false,Rx,0,8,30,00,01,00,00,00,00,00,
484126225,0000077D,false,Rx,0,8,21,20,20,20,20,20,20,20,
484136753,0000077D,false,Rx,0,8,22,20,20,20,AA,AA,AA,AA,
484183353,00000713,false,Rx,0,8,03,22,F1,AA,00,00,00,00,
484213435,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
484216469,0000077D,false,Rx,0,8,03,7F,22,78,AA,AA,AA,AA,
484226218,0000077D,false,Rx,0,8,10,08,62,F1,AA,4A,31,30,
484226471,00000713,false,Rx,0,8,30,00,01,00,00,00,00,00,
484236473,0000077D,false,Rx,0,8,21,34,20,AA,AA,AA,AA,AA,
484273218,00000713,false,Rx,0,8,03,22,F1,8C,00,00,00,00,
484306893,0000077D,false,Rx,0,8,03,7F,22,78,AA,AA,AA,AA,
484326277,0000077D,false,Rx,0,8,10,11,62,F1,8C,35,30,33,
484326530,00000713,false,Rx,0,8,30,00,01,00,00,00,00,00,
484336797,0000077D,false,Rx,0,8,21,31,37,30,30,30,30,30,
484346746,0000077D,false,Rx,0,8,22,30,32,37,33,AA,AA,AA,
484393224,00000713,false,Rx,0,8,03,22,F1,9E,00,00,00,00,
484426218,0000077D,false,Rx,0,8,03,7F,22,78,AA,AA,AA,AA,
484456681,0000077D,false,Rx,0,8,10,1D,62,F1,9E,45,56,5F,
484456954,00000713,false,Rx,0,8,30,00,01,00,00,00,00,00,
484465976,0000077D,false,Rx,0,8,21,42,72,61,6B,65,31,55,
484476844,0000077D,false,Rx,0,8,22,44,53,43,6F,6E,74,69,
484485935,0000077D,false,Rx,0,8,23,4D,4B,31,30,30,45,53,
484496731,0000077D,false,Rx,0,8,24,50,00,AA,AA,AA,AA,AA,
484573202,00000713,false,Rx,0,8,03,22,F1,A2,00,00,00,00,
484606197,0000077D,false,Rx,0,8,03,7F,22,78,AA,AA,AA,AA,
484616474,0000077D,false,Rx,0,8,10,09,62,F1,A2,30,33,36,
484616727,00000713,false,Rx,0,8,30,00,01,00,00,00,00,00,
484626231,0000077D,false,Rx,0,8,21,30,31,30,AA,AA,AA,AA,
484663264,00000713,false,Rx,0,8,03,22,06,00,00,00,00,00,
484677009,0000077D,false,Rx,0,8,10,32,62,06,00,43,FA,6A,
