Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
436152310,000007E0,false,Rx,0,8,02,3E,00,00,00,00,00,00,
436162009,000007E8,false,Rx,0,8,02,7E,00,AA,AA,AA,AA,AA,
436214914,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
436715004,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
437214878,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
437592482,000007E0,false,Rx,0,8,04,14,FF,FF,FF,00,00,00,
437601976,000007E8,false,Rx,0,8,03,7F,14,11,AA,AA,AA,AA,
437712277,00000700,false,Rx,0,8,01,04,00,00,00,00,00,00,
437714850,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
437718895,000007E9,false,Rx,0,8,01,44,AA,AA,AA,AA,AA,AA,
437752174,000007E8,false,Rx,0,8,03,7F,04,78,AA,AA,AA,AA,
438072718,000007E8,false,Rx,0,8,01,44,AA,AA,AA,AA,AA,AA,
438192432,000007E0,false,Rx,0,8,03,19,02,AE,00,00,00,00,
438214840,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
438232036,000007E8,false,Rx,0,8,03,7F,19,78,AA,AA,AA,AA,
438714810,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
438732016,000007E8,false,Rx,0,8,03,59,02,FF,AA,AA,AA,AA,
439214790,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
439714775,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
440214755,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
440714738,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
441214738,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
441282431,000007E0,false,Rx,0,8,02,3E,00,00,00,00,00,00,
441292201,000007E8,false,Rx,0,8,02,7E,00,AA,AA,AA,AA,AA,
441714730,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
442214718,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
442714679,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
443214669,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
443714648,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
443832415,000007E0,false,Rx,0,8,02,3E,00,00,00,00,00,00,
443842148,000007E8,false,Rx,0,8,02,7E,00,AA,AA,AA,AA,AA,
444214649,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
444714620,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
445214600,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
445714601,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
446214597,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
446382415,000007E0,false,Rx,0,8,02,3E,00,00,00,00,00,00,
446392287,000007E8,false,Rx,0,8,02,7E,00,AA,AA,AA,AA,AA,
446714584,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
447214569,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
447714516,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
