Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
862909390,0000070F,false,Rx,0,8,03,22,2B,E7,00,00,00,00,
862924333,00000779,false,Rx,0,8,04,62,2B,E7,0D,AA,AA,AA,
862969431,0000070F,false,Rx,0,8,03,22,2B,E7,00,00,00,00,
862984314,00000779,false,Rx,0,8,04,62,2B,E7,0D,AA,AA,AA,
863029431,0000070F,false,Rx,0,8,03,22,2B,E7,00,00,00,00,
863044254,00000779,false,Rx,0,8,04,62,2B,E7,0D,AA,AA,AA,
863089443,0000070F,false,Rx,0,8,03,22,2B,E7,00,00,00,00,
863104651,00000779,false,Rx,0,8,04,62,2B,E7,0D,AA,AA,AA,
863149434,0000070F,false,Rx,0,8,03,22,2B,E7,00,00,00,00,
863164990,00000779,false,Rx,0,8,04,62,2B,E7,0D,AA,AA,AA,
863202165,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,00,
863209322,0000070F,false,Rx,0,8,03,22,2B,E7,00,00,00,00,
863224935,00000779,false,Rx,0,8,04,62,2B,E7,0D,AA,AA,AA,
863269452,0000070F,false,Rx,0,8,03,22,2B,E7,00,00,00,00,
863284934,00000779,false,Rx,0,8,04,62,2B,E7,0D,AA,AA,AA,
863329443,0000070F,false,Rx,0,8,03,22,2B,E7,00,00,00,00,
863344914,00000779,false,Rx,0,8,04,62,2B,E7,0D,AA,AA,AA,
863389455,0000070F,false,Rx,0,8,03,22,2B,E7,00,00,00,00,
863404848,00000779,false,Rx,0,8,04,62,2B,E7,0D,AA,AA,AA,
863479364,0000070F,false,Rx,0,8,03,22,2B,E7,00,00,00,00,
863494979,00000779,false,Rx,0,8,04,62,2B,E7,0D,AA,AA,AA,
863539368,0000070F,false,Rx,0,8,03,22,2B,E7,00,00,00,00,
863554971,00000779,false,Rx,0,8,04,62,2B,E7,0D,AA,AA,AA,
863599342,0000070F,false,Rx,0,8,03,22,2B,E7,00,00,00,00,
863614914,00000779,false,Rx,0,8,04,62,2B,E7,0D,AA,AA,AA,
863659344,0000070F,false,Rx,0,8,03,22,2B,E7,00,00,00,00,
863674877,00000779,false,Rx,0,8,04,62,2B,E7,0D,AA,AA,AA,
863702140,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,00,
863719364,0000070F,false,Rx,0,8,03,22,2B,E7,00,00,00,00,
863734836,00000779,false,Rx,0,8,04,62,2B,E7,0D,AA,AA,AA,
863779395,0000070F,false,Rx,0,8,03,22,2B,E7,00,00,00,00,
863794893,00000779,false,Rx,0,8,04,62,2B,E7,0D,AA,AA,AA,
863839402,0000070F,false,Rx,0,8,03,22,2B,E7,00,00,00,00,
863854750,00000779,false,Rx,0,8,04,62,2B,E7,0D,AA,AA,AA,
863899402,0000070F,false,Rx,0,8,03,22,2B,E7,00,00,00,00,
863914710,00000779,false,Rx,0,8,04,62,2B,E7,0D,AA,AA,AA,
863959421,0000070F,false,Rx,0,8,03,22,2B,E7,00,00,00,00,
863975441,00000779,false,Rx,0,8,04,62,2B,E7,0D,AA,AA,AA,
864019413,0000070F,false,Rx,0,8,03,22,2B,E7,00,00,00,00,
864035435,00000779,false,Rx,0,8,04,62,2B,E7,0D,AA,AA,AA,
864079422,0000070F,false,Rx,0,8,03,22,2B,E7,00,00,00,00,
864095384,00000779,false,Rx,0,8,04,62,2B,E7,0D,AA,AA,AA,
864139415,0000070F,false,Rx,0,8,03,22,2B,E7,00,00,00,00,
864155375,00000779,false,Rx,0,8,04,62,2B,E7,0D,AA,AA,AA,
864199415,0000070F,false,Rx,0,8,03,22,2B,E7,00,00,00,00,
864202115,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,00,
864215297,00000779,false,Rx,0,8,04,62,2B,E7,0D,AA,AA,AA,
864259402,0000070F,false,Rx,0,8,03,22,2B,E7,00,00,00,00,
864275383,00000779,false,Rx,0,8,04,62,2B,E7,0D,AA,AA,AA,
864319411,0000070F,false,Rx,0,8,03,22,2B,E7,00,00,00,00,
864335217,00000779,false,Rx,0,8,04,62,2B,E7,0D,AA,AA,AA,
864379391,0000070F,false,Rx,0,8,03,22,2B,E7,00,00,00,00,
864395612,00000779,false,Rx,0,8,04,62,2B,E7,0D,AA,AA,AA,
864439422,0000070F,false,Rx,0,8,03,22,2B,E7,00,00,00,00,
864455581,00000779,false,Rx,0,8,04,62,2B,E7,0C,AA,AA,AA,
864499412,0000070F,false,Rx,0,8,03,22,2B,E7,00,00,00,00,
864515513,00000779,false,Rx,0,8,04,62,2B,E7,0D,AA,AA,AA,
864559403,0000070F,false,Rx,0,8,03,22,2B,E7,00,00,00,00,
864575462,00000779,false,Rx,0,8,04,62,2B,E7,0D,AA,AA,AA,
864619372,0000070F,false,Rx,0,8,03,22,2B,E7,00,00,00,00,
864635422,00000779,false,Rx,0,8,04,62,2B,E7,0D,AA,AA,AA,
864679386,0000070F,false,Rx,0,8,03,22,2B,E7,00,00,00,00,
864695395,00000779,false,Rx,0,8,04,62,2B,E7,0D,AA,AA,AA,
864702099,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,00,
864739385,0000070F,false,Rx,0,8,03,22,2B,E7,00,00,00,00,
864755375,00000779,false,Rx,0,8,04,62,2B,E7,0D,AA,AA,AA,
864829475,0000070F,false,Rx,0,8,03,22,2B,E7,00,00,00,00,
864845095,00000779,false,Rx,0,8,04,62,2B,E7,0D,AA,AA,AA,
864889451,0000070F,false,Rx,0,8,03,22,2B,E7,00,00,00,00,
