Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
976401234,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
976422135,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
976461254,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
976481766,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
976521276,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
976542175,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
976581312,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
976602175,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
976641213,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
976661771,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
976698835,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,00,
976731363,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
976751832,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
976791213,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
976811559,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
976851264,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
976871628,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
976911296,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
976931680,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
976971226,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
976992273,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
977031274,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
977052627,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
977091293,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
977113376,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
977151285,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
977173819,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
977198818,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,00,
977211264,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
977234245,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
977271294,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
977294237,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
977331317,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
977354237,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
977391295,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
977414461,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
977451285,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
977474699,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
977511305,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
977524930,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
977571272,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
977584902,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
977631304,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
977645255,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
977691256,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
977698809,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,00,
977705257,00000779,false,Rx,0,8,05,62,2B,F3,00,00,AA,AA,
977751372,0000070F,false,Rx,0,8,03,22,2B,F3,00,00,00,00,
